Manx,English,Notes,Date,Source
Shiar-shiar hwoaie. ,"E.N.E. [East-Northeast, 67.5°]",,10/10/1903,Isle of Man Examiner
Shiar as lesh y hwoaie,"[East by North, 78.75°]",,10/10/1903,Isle of Man Examiner
Shiar E ,"[East, 90°]",,10/10/1903,Isle of Man Examiner
Shiar as lesh y jiass. ,"[East, by South 101.25°]",,10/10/1903,Isle of Man Examiner
Shiar-shiar ass.  E.S.E. ,"[East-Southeast, 112.5°]",,10/10/1903,Isle of Man Examiner
Shiar-ass as lesh y shiar,".[Southeast by East, 123.75°]",,10/10/1903,Isle of Man Examiner
Shiar-ass.  ,S.E. [South-East 135°],,10/10/1903,Isle of Man Examiner
Shiar-ass as lesh y jiass.  ,"[Southeast by South, 146.25°]",,10/10/1903,Isle of Man Examiner
Jiass shiar-ass,"S.S.E.  [South-Southeast, 157.5°]",,10/10/1903,Isle of Man Examiner
Jiass as lesh y shiar,[South by East 168.75°]°],,10/10/1903,Isle of Man Examiner
Jiass. ,"S. [South,180°]",,10/10/1903,Isle of Man Examiner
Jiass as lesh y sheear.  ,"[South by West, 191.25°]",,10/10/1903,Isle of Man Examiner
Jiass-sheear-ass,S.S.W.[South-Southwest 202.5°],,10/10/1903,Isle of Man Examiner
Sheear-ass as lesh y jiass. ,[Southeast by South 213.75°],,10/10/1903,Isle of Man Examiner
Sheear-ass. S.W. ,[South-West 225°],,10/10/1903,Isle of Man Examiner
Sheear-ass as lesh y sheear.  ,"[Southwest by West, 236.25°]",,10/10/1903,Isle of Man Examiner
Sheear-sheear ass. ,W.S.W.  [West-Southwest 247.5°],,10/10/1903,Isle of Man Examiner
Sheear as lesh y jiass. ,[West by South 258.75°],,10/10/1903,Isle of Man Examiner
W. Sheear. ,"S.W. [South-West, 270°]",,10/10/1903,Isle of Man Examiner
Sheear as lesh y hwoaie. ,"[West by North, 281.25°]",,10/10/1903,Isle of Man Examiner
Sheear sheear hwoaie. ,"W.N.W. [West-Northwest, 292.5°]",,10/10/1903,Isle of Man Examiner
Sheear hwoaie as lesh y sheear. ,"[Northwest by West, 303.75°]",,10/10/1903,Isle of Man Examiner
Sheear hwoaie. ,"N.W. [North-West, 315°]",,10/10/1903,Isle of Man Examiner
Sheear hwoaie as lesh y hwoaie. ,"[Northwest by North, 326.25°]",,10/10/1903,Isle of Man Examiner
Twoaie sheear hwoaie. ,"N.N.W. [North-Northwest, 337.5°]",,10/10/1903,Isle of Man Examiner
Twoaie as lesh v Sheear.,"[North by West, 348.75°]",,10/10/1903,Isle of Man Examiner
Twoaie.,"N. [North, 360° / 0°]",,10/10/1903,Isle of Man Examiner
,THE HERRING AND ITS HABITAT.[87],"[87] [86] IoME, Sat, Dec 26, 1903; P: 8, IoME, Sat, Jan 16, 1904; P: 8, IoME, Sat, Jan 23, 1904; P: 8, IoME, Sat, Jan 30, 1904; P: 8, IoME, Sat, Feb 20, 1904; P: 8, IoME, Sat, Feb 27, 1904; P: 8, IoME, Sat, May 14, 1904; P: 8  ",14/05/1904,Isle of Man Examiner
Yn skeddan glass ayns shoalyn chiu cloie,The pale-blue herring in thick  bushes [shoals] plays,,14/05/1904,Isle of Man Examiner
As cowrey lieen trooid ooilley y coamrey roie. [88],And marks of netting on his robe displays.,[88] Lines from Pargys Caillit.,14/05/1904,Isle of Man Examiner
,,,,
,The Shoulder or South Corner Fishing,,14/05/1904,Isle of Man Examiner
Geaylin y Cholloo ,"The Shoulder; a corner of the Calf of Man the well known fishing ground — the Shoulder is off this, say about 6 miles W.S.W.",,14/05/1904,Isle of Man Examiner
,PEEL FISHING. ,,14/05/1904,Isle of Man Examiner
Son y Feaill-Eoin,By St. John's feast day ,,14/05/1904,Isle of Man Examiner
Bee mayd goll roin,We shall be away,,14/05/1904,Isle of Man Examiner
Dy yeeaghyn son warpyn skeddan ,To look for the warps of herring ,,14/05/1904,Isle of Man Examiner
Heear ’sy chione roauyr,West at Contrary Head,,14/05/1904,Isle of Man Examiner
Lesh yurnaa liauyr,With a long journey,,14/05/1904,Isle of Man Examiner
Goaill neose nyn shiaull fo'n Carrron ,Furling our sails under Carron ,,14/05/1904,Isle of Man Examiner
As hie shin son y Gheaylin.,And we made for the Shoulder.,,14/05/1904,Isle of Man Examiner
"Skeddan beg er y Wart, [89]","An average small-sized herring, known as Wart herring, hence the old couplet:","[89] “Skeddan beg er y Wart, Best herring ever caught.” An average small-sized herring, known as Wart herring, hence the old couplet. If an imaginary line was drawn between Peel and the Mull, it would pass over the Wart about two miles off Peel in a northerly direction. The fishing mark for the Wart was the top of Greeba mountain. The herring has disappeared off the Wart for some years past. The fishing on the Peel Wart is now confined to the nobbies, the nets of the luggers and nickeys being too deep to fish there. The Wart bank lies in about 9 fathoms of water and was noted for the abundance of small, sweet herring on it.",14/05/1904,Isle of Man Examiner
reeayllagh,a scattering of the herring shoal (rather than gathering in ‘bushes’),,14/05/1904,Isle of Man Examiner
,DOUGLAS BACK FISHING.,,14/05/1904,Isle of Man Examiner
Yn chiagtoo laa jeh'n vee September ,The seventh day of September month ,,14/05/1904,Isle of Man Examiner
Hie shin er shiaulley ass baie Rumsaa ,We sailed out of Ramsey Bay ,,14/05/1904,Isle of Man Examiner
Kiarail dy gheddyn dys geaylin Vaughold ,Intending to get to Maughold Shoulder ,,14/05/1904,Isle of Man Examiner
Dy akin caslys lane vie traa.,To see a sign there in good time.,,14/05/1904,Isle of Man Examiner
bock ,a species of shark,,14/05/1904,Isle of Man Examiner
gobbag,dog fish,,14/05/1904,Isle of Man Examiner
back,"[ ‘back fishing’ — the fishing off the East coast from Maughold head to Langness, up to 12 miles off Douglas.]",,14/05/1904,Isle of Man Examiner
Kione Roauyr ,Contrary Head,,14/05/1904,Isle of Man Examiner
reeayllagh ,scattered and spread (herring),,14/05/1904,Isle of Man Examiner
skeddan ,little shad[90],[90] etymological explaination of the word [skeddan] as ‘little shad (sceadd — Anglo-Saxon word for a river-shaoling herring).,14/05/1904,Isle of Man Examiner
,[Herring Recipes],,14/05/1904,Isle of Man Examiner
,GASTRONOMICAL NOTES ON THE HERRING.,,14/05/1904,Isle of Man Examiner
Cha nel veg goll-rish praaseyn as skeddan.,There is nothing like potatoes and herring.,,14/05/1904,Isle of Man Examiner
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
