Manx,English,Notes,Date,Source
Dy gastey cheet voish y shiar-hwoaie. ,And quickly comes from the north-east. ,,16/11/1901,Isle of Man Examiner
,,,,
"Ta fainagh ny ghreiney ersooyl harrish ’oyr, ",The chariot of the sun is gone over the edge ,,16/11/1901,Isle of Man Examiner
"Gys faarkaghyn lhean y sheear-ass, ",To the wide waves of the south-west. ,,16/11/1901,Isle of Man Examiner
"Ta’n eayst ayns shiar er n’irree ayns gloyr, ","And the moon in the east is risen in glory, ",,16/11/1901,Isle of Man Examiner
As yn sheear ayns e[13] coamrey glass. ,And the west in its robe of gray. ,"[13] e] original text gives [y], rather than [e].
",16/11/1901,Isle of Man Examiner
,[29] The Manx May Flowers[14],"[14] IoME, Sat, Nov 23, 1901; P: 7
",23/11/1901,Isle of Man Examiner
lus y voaldyn,marsh marigold,,23/11/1901,Isle of Man Examiner
"bellióch, bwillògh, booaliugh, bluight,",,,23/11/1901,Isle of Man Examiner
bliughtagh vlieaun,cowslip,,23/11/1901,Isle of Man Examiner
,[31.] MANX NAMES OF FISH AND SHELL FISH.[15],"[15] IoME, Sat, Nov 30, 1901; P: 6
Appended below are the Manx names of the piscatorial family, which will no doubt be of interest to Manx fishermen. As it would be very desirable to make the list as complete a one as possible, criticism and corrections are invited. There are many old Manxmen with whom not a few of these names will be familiar, and there are many points which may require clearing up, so I shall esteem it a pleasure to have the list freely criticised. In some cases, two or more Manx names appear for one fish, in others it is hard to determine their English equivalent, while a great many seem to have no Manx name. Some of these are merely translations of their English equivalents, which I have taken the liberty to make. No doubt, not a few of these have Manx names, so I hope that Manx fishermen will peruse the list, and send in any additions or corrections. A list of animals, birds, insects, etc., will follow in due course. J. J. K.",30/11/1901,Isle of Man Examiner
Eeast-Vaynagh,Angel or Monk Fish,,30/11/1901,Isle of Man Examiner
Eeast-Foillycan,Butterfly Fish,,30/11/1901,Isle of Man Examiner
Carroo,Carp,,30/11/1901,Isle of Man Examiner
Cabbyl Marrey,Sea-Horse,,30/11/1901,Isle of Man Examiner
Boiddagh,Cod,,30/11/1901,Isle of Man Examiner
Boiddagh,"Cod, rock",,30/11/1901,Isle of Man Examiner
Partan (Ruy),Crab,,30/11/1901,Isle of Man Examiner
Partan Sidoor,"Crab, soldier",,30/11/1901,Isle of Man Examiner
Gimmagh Awin,Cray Fish,,30/11/1901,Isle of Man Examiner
"Gobbag, Gobbag Ghoal",Dog Fish,,30/11/1901,Isle of Man Examiner
Astan,Eel,,30/11/1901,Isle of Man Examiner
Astan Vooar,Conger Eel,,30/11/1901,Isle of Man Examiner
Liehbage,"Flounder, Flook",,30/11/1901,Isle of Man Examiner
Eeast Etlee,Flying Fish,,30/11/1901,Isle of Man Examiner
Perkyn Vooar,Grampus,,30/11/1901,Isle of Man Examiner
Kione-Tramman,Gudgeon,,30/11/1901,Isle of Man Examiner
Crodane,Gurnard,,30/11/1901,Isle of Man Examiner
Crodane Ghlass,"Gurnard, gray",,30/11/1901,Isle of Man Examiner
Attag,Haddock,,30/11/1901,Isle of Man Examiner
Skeddan,Herring,,30/11/1901,Isle of Man Examiner
"Flitter, Baarnagh","limpet, ",,30/11/1901,Isle of Man Examiner
Gimmagh,Lobster,,30/11/1901,Isle of Man Examiner
Brack-Varrey (Cheayin) ,Mackerel,,30/11/1901,Isle of Man Examiner
Burdoge,Minow,,30/11/1901,Isle of Man Examiner
Gobdoo,Mussel,,30/11/1901,Isle of Man Examiner
Hullad-Varrey ,Sea-Owl ,,30/11/1901,Isle of Man Examiner
Ooastyn,Oyster,,30/11/1901,Isle of Man Examiner
Liehbage Vreck,Plaice,,30/11/1901,Isle of Man Examiner
Perkyn,Porpoise,,30/11/1901,Isle of Man Examiner
Braddan,Salmon,,30/11/1901,Isle of Man Examiner
Brack Ghlaal,Salmon Trout,,30/11/1901,Isle of Man Examiner
Eeast Saaue,Saw Fish,,30/11/1901,Isle of Man Examiner
Moddey Oayldey Marrey,Sea Wolf,,30/11/1901,Isle of Man Examiner
"Sharkagh, Bock Glass",Shark ,,30/11/1901,Isle of Man Examiner
Strimp,Shrimp ,,30/11/1901,Isle of Man Examiner
Scarrag,Skate ,,30/11/1901,Isle of Man Examiner
Liehbage Chiare,Sole,,30/11/1901,Isle of Man Examiner
Eeast Jiolee,Sucking Fish,,30/11/1901,Isle of Man Examiner
Eeast Greiney,Sun Fish,,30/11/1901,Isle of Man Examiner
Eeast Cliwe,Sword Fish ,,30/11/1901,Isle of Man Examiner
Bollan,Tench,,30/11/1901,Isle of Man Examiner
Gallley,Toad Fish,,30/11/1901,Isle of Man Examiner
Brack (Pern),Trout,,30/11/1901,Isle of Man Examiner
Eeast Hellym,Trumpet Fish ,,30/11/1901,Isle of Man Examiner
Turbait,Turbot,,30/11/1901,Isle of Man Examiner
Eeast Eairkagh,Sea Unicorn,,30/11/1901,Isle of Man Examiner
Fynnag,Whiting ,,30/11/1901,Isle of Man Examiner
"Mwatlag, Buckee",Whelk ,,30/11/1901,Isle of Man Examiner
Blockan,Pollock Fish,,30/11/1901,Isle of Man Examiner
Feoghaig,Periwinkle ,,30/11/1901,Isle of Man Examiner
Gibbin,Sand Eel ,,30/11/1901,Isle of Man Examiner
Gibbin-Kialgerey,Stinging Sand Eel,,30/11/1901,Isle of Man Examiner
Raucan,Scallop,,30/11/1901,Isle of Man Examiner
Giarechutt ,(?),,30/11/1901,Isle of Man Examiner
"Callag,",(?),,30/11/1901,Isle of Man Examiner
Keilleig [16],(?),[16] [Callag] and [Keilleig] are likely variants of [callig] ‘pollock’. ,30/11/1901,Isle of Man Examiner
Bulkione,(?),,30/11/1901,Isle of Man Examiner
,[There seems to be no Manx equivalent for the following :—,,30/11/1901,Isle of Man Examiner
,"Admiral, Anchovey, Bream, Chama, Char, Chub, Cockle, Dace, Dolphin, John Doree, Father Lasher, Gar Fish, Grayling, Horned Silure, Kraken, Lucerna, Lump Fish, Narval, Perch, Pike, Pilchard, Pilot Fish, Prawn, Reinora, Roach, Flying Scorpion, Smelt, Snipe Shell, Sparling, Sprat, Sturgeon, Thornback, Torpedo Whale.",,30/11/1901,Isle of Man Examiner
,[32] THE MANX SHEALINGS OR AIREYS.[17],"
[17] IoME, Sat, Nov 30, 1901; P: 7
",30/11/1901,Isle of Man Examiner
"airey, ary, eairey, irey, harry, ari, eree ","shealing, fair pasture on the upland hills, a place for summer grazing",,30/11/1901,Isle of Man Examiner
,[34] LITTLE AND BIG CHRISTMAS.[18],"[18] IoME, Sat, Dec 07, 1901; P: 6
",07/12/1901,Isle of Man Examiner
,"They used to, and still call the new Christmas the little Christmas, and the old Christmas, the big Christmas, and most of the houses in Cregneish had a stone bench near the front door, to set tubs and other things on to dry. It was called bink, in Manx, and when the Christmas was very near at hand, they used to say : it is under the bench, that is to say, at the door ; and the big Christmas is at the back of the house 'cooil’, that was — it is near, when we’ll get ale to drink and pie with merry cheer. The people of Cregneish keep old Christmas, for they think it is the right Christmas. Old saying of people at Christmas time:",,07/12/1901,Isle of Man Examiner
"Ta’n ullick veg fo’n vink, ",The little Christmas is under the bench . ,,07/12/1901,Isle of Man Examiner
"Ta’n ullick vooar cooil thie, ","The big Christmas at the back of the house, ",,07/12/1901,Isle of Man Examiner
