Speaker,Manx,English,SubStart,SubEnd,Notes,ManxColumnLanguage
JTK,"Mean yn rhullick as va, va'n doarlish, bunny- bunnys feed, feed yard ...","The middle of the graveyard and there was, there was a gap, near-. nearly twenty, twenty yard ...",635,644.8,,
WR,Feed stundayrt?,Twenty yards?,644.2,645.6,,
JTK,"Va, son, voish y boayl t'eh nish, ta, ta.","Yes, for, from the place it is now, yes, yes.",645.2,649.3,,
WR,Oh?,Oh?,649,650,,
JTK,Boayl ta'n keeill troggit ayn.,Where the church is built.,649.3,652,,
WC,Mmm.,Mmm.,651.2,652,,
WR,"Hmm, hmm, hmm. As cha nel red erbee faagit jeh'n shenn cheeill nish.","Hmm, hmm, hmm. And there is nothing left of the old church now.",651.2,658,,
JTK,"Oh cha nel, oh cha nel oh t'ad oanluckit ayns y shenn keeill nish.","Oh no, oh no, oh they are buried in the old church now.",657.5,661.6,,
WR,Hmm.,Hmm.,661,662.4,,
JTK,Ram jeu oanluckit ayn.,Lots of them buried in it.,662,664,,
WR,"Hmm, hmm.","Hmm, hmm.",663.4,665.4,,
JTK,"Va, oh ...","Yes, oh ...",664.5,667,,
WR,As c'red ren ad jannoo lesh ooilley ny claghyn?,And what did they do with all the stones?,666.5,669.5,,
JTK,Va ram jeh'n claghyn currit ayns y nane noa.,Lots of the stones were put in the new one.,669.7,673.2,,
WR,Oh row?,Oh were they?,673,674,,
JTK,Va.,Yes.,673.6,675,,
WC,"Oh, dy jarroo?","Oh, indeed?",674,676,,
JTK,Oh ram jeu.,Oh lots of them.,674.3,677,,
WC,Hmm.,Hmm.,676,678,,
DF,"Mmm, mmm.","Mmm, mmm.",676,678,,
JTK,Oh ram currit ayns y nane noa.,Oh lots put in the new one.,678,680.2,,
DF,Hmm.,Hmm.,680,681,,
JTK,"As ta cooinaghtyn aym er y keeill jeant, as y thie-schoill jeant, as y thie phaitchyn jeant.","And I remember the church finished, and the school house finished, and the the children's house finished.",680,689.5,,
WR,Dy jarroo!,Indeed!,689,690.4,,
JTK,Ta ...,Yes ...,690,692,,
WR,"Quoi, quoi ren troggal yn, yn keeill? Radlagh yn Symner, nagh row?","Who, who built the, the church? Radcliffe the sumner, wasn't it?",691,697,,
JTK,"Fer aeg v'ad gra Thom ayns yn, he was, Thomas Christian, on, on, on Manx he was Thom Cristeen. That's the Manx do you see but Thomas Christian, Thomas Charlie they called him.","A young fellow they called Thom in the, he was, Thomas Christian, on, on, on Manx he was Thom Cristeen. That's the Manx do you see but Thomas Christian, Thomas Charlie they called him.",696,712,,
DF,"Yeah, hmm.","Yeah, hmm.",711,712,,
WR,Thom Cristeen.,Thom Cristeen.,712,714,,
JTK,"Aye Cristeen is the Manx, he was Christian.","Aye Cristeen is the Manx, he was Christian.",712.9,717,,mixed
WR,Hmm.,Hmm.,716.5,717.3,,
JTK,And did you know in Don Charlie in Ramsey?,And did you know in Don Charlie in Ramsey?,717,720.2,,en
WR,"Oh ren, ren, ren.","Oh I did, yes, yes.",720,722,,
JTK,"Ren oo fakin, va enn ayd er [?]eh, well v'eh braar da.","Did you see, you know him, well he was his brother.",721.7,726.1,,
WR,"Oh braar da, row?","Oh his brother, was he?",726,727.2,,
JTK,"Va, as nee eh, v'eh masoonagh.","Yes, and he will, he was a mason.",726.5,730,,
WR,"Masoonagh, hmm.","A mason, hmm.",729.8,731.4,,
JTK,"V'eh masoonagh as v'eh, v'eh, ren eh jannoo keeill Skylley, Skylley Andreays, as Skyll- ....","He was a mason and he was, he was, he made the church of Kirk Andreays, and Kir- ...",730.5,739.4,,
WR,"Skylley Creest? As, Skylley Breejey?","Kirk Christ (Lezayre)? And, Kirk Bride?",739,744,,
JTK,"Skylley Breejey, ren eh jannoo jees jeu, err, as oh v'eh masoonagh mie, v'eh masoonagh mie, as eisht v'eh ayns shoh as ren eh poosey be-, ben v'eh, v'eh, oh, v'eh geirinnagh ayns, ayns, ayns Crosby, v'ad gra [?] rish. As ren eh goll away dys, dys, what's the Manx of Whitehaven?","Kirk Bride, he made both of them, err, and oh he was a good mason, he was a good mason, and then he was here and he married a wo-, a woman he was, he was, oh he was farming in, in, in Crosby, they called him [?]. And he went away to, to, what's the Manx of Whitehaven?",740.8,773,,
WR,Balley Bane.,Balley Bane.,772,774,,
JTK,"Ball-, err, ren eh goll dys, err, faggys, err, yn, yn, yn, as ren eh goll ersooyl reesht. Yes.","Ball-, err, he went to, err, near, err, the, the, the, and he went away again. Yes.",774.5,784,,
WR,Hmm.,Hmm.,784,785,,
JTK,"Oh v'eh sm-, oh v'ad ooilley mie, va, va braar er v'ad goaill Dan Charlie rish, as va nah braar elley v'ad goaill John Charlie rish. Cristeen v'ad gra, as v'ad, v'ad yn jees jeu, yn jees jeu joiners, and one a mason or something.","Oh he was, they were all good, he had a brother they were calling Dan Charlie, and there was another second brother they were calling John Charlie. Cristeen they were saying, and the both of them, both of them were joiners, and one a mason or something.",784,805,,
WR,Hmm.,Hmm.,804,805,,
JTK,But they were tremendous good handed ones.,But they were tremendous good handed ones.,804.8,808,,en
WR,"Hmm, hmm.","Hmm, hmm.",807.4,809,,
JTK,"Oh there were, va laueyn mie oc as va'n kione mie.","Oh there were, they had good hands and the head was good.",808,812,,
WR,"V'ad aghtal, row?","They were dexterous, were they?",812,813.5,,
JTK,"Oh v'ad mie, v'ad mie.","Oh they were good, they were good.",813,816,,
WR,"Hmm, hmm.","Hmm, hmm.",815.4,817,,
JTK,"As ren ad geddyn ad voish err, voish, ersooyl son dy jannoo yn err, y keeill ayns Skylley Breejey. ","And they found them from err, from, away to make the err, the church in Kirk Bride.",816.4,826,,
WR,Oh ren?,Oh did they?,826,826.7,,
JTK,"Ren! Ren ad geddyn, ren ad geddyn ad voish ersooyl.","Yes! They got, they got them from away.",826.4,830,,
WR,Hmm.,Hmm.,830,832,,
DF,Hmm.,Hmm.,830,832,,
JTK,"Son ren ad jannoo keeill Skylley Andreays, as ren yn a-, yn, yn saggyrt err Skylley Andreays ren eh jannoo yn kee- yn keeill.","For they made Kirk Andreas church, and the minister err of Kirk Andreas he made the ch- church.",831.4,842.3,,
WR,Ren eh?,Did he?,842,843,,
JTK,"Yn, yn steeple, what's the steeple?","Yn, yn steeple, what's the steeple?",843,846,,
WR,Hmm.,Hmm.,845.3,846,,
JTK,He built the steeple the archdeacon.,He built the steeple the archdeacon.,846,849,,en
WR,"Hmm, hmm.","Hmm, hmm.",848.5,850,,
JTK,"Yes, he built the steeple.","Yes, he built the steeple.",848,852,,en
WR,Hmm.,Hmm.,851,852.5,,
JTK,"All him- himself too, built, all expense and all, dy chooilley red eh hene.","All him- himself too, built, all expense and all, everything himself.",852.5,859.3,,
WR,Ah.,Ah.,858,860,,
WC,Hmm.,Hmm.,858,860,,
JTK,Dy chooilley red.,Everything.,859,861,,
DF,As quoi va'n saggyrt ec y traa shen?,And who was the minister at that time?,860,863,,
JTK,Saggyrt Moore.,Minister Moore.,863,865,,
DF,Moore?,Moore?,864.4,865.7,,
JTK,Moore.,Moore.,865.4,866.2,,
DF,Moore.,Moore.,866,867.1,,
JTK,Aye.,Aye.,867,868,,
WR,"Yn ard-jaghin Moore, ta mee er chlashtyn mychione y fer shen.","The arch-deacon Moore, I have heard about that fellow.",868,871.5,,
JTK,"Yes, aye, he was, he was, ar- archdeacon Moore ...","Yes, aye, he was, he was, ar- archdeacon Moore ...",871.2,875.6,,en
DF,Hmm.,Hmm.,875,876,,
JTK,... and he was never married.,... and he was never married.,875.5,877.5,,en
WR,Cha row eh poost.,He wasn't married.,877,879,,
JTK,"Cha row eh poost son va laue echey, as va red ennagh a-, a-, ayns y laue as cha jinnagh eh geddyn poost son dy freayll yn red voish yn paitchyn.","He wasn't married because he had a hand, and there was something in, in the hand and he wouldn't get married to keep the thing from the children.",878.6,890,,
WR,Oh dy jarroo.,Oh indeed.,890,892,,
JTK,Va. He had evil in his hand and he wouldn't get married for fear to give it to the childer. ,Yes. He had evil in his hand and he wouldn't get married for fear to give it to the childer. ,891.4,897.2,,mixed
WR,Ah.,Ah.,897,899,,
WC,Dy jarroo!,Indeed!,897,899,,
JTK,"Aye, and he never was married.","Aye, and he never was married.",898.7,900.6,,en
WC,Ah.,Ah.,900,901,,
JTK,"But he had a, he had a, sho-, err, va fer echey v'eh, v'eh, v'eh freayll kiare dooinney, eirinnagh, va eirinnagh, as va fer ayns y garey, as va fer, va fer err, jannoo yn, jannoo ooilley yn reddyn as va'n ben, yn fer shen, freayll thie son echey.","But he had a, he had a, sho-, err, he had a fellow he was, he was, he was keeping four men, farmer, there was a farmer, and there was a fellow in the garden, and there was a fellow, a fellow was err, doing, doing all the things and the wife of that fellow, was keeping house for him.",900,927.5,,
DF,"Hmm, hmm.","Hmm, hmm.",926.5,929,,
JTK,"As va'n ben freayll thie as erm, oh v'eh, as hooar eh baase ayns Skyll Andreays.","And the woman was keeping house and erm, oh he was, and he died in Kirk Andreas.",928,934.3,,
WR,"Hmm, hmm.","Hmm, hmm.",933.7,936,,
WC,Mmm.,Mmm.,933.7,936,,
JTK,"Oh va ram argid echey, va ram argid echey, v'eh yn argid echey hene.","Oh he had lots of money, he had lots of money, it was his own money.",935,940.6,,
WR,Echey hene?,His own?,940.4,941.4,,
JTK,"Va, ram argid echey hene.","Yes, lots of his own money.",941.4,943.3,,
WR,"As ren Kewley geiyrt er, er y fer shen. Nagh re Kewley ren geiyrt ersyn?","And Kewley followed, that fellow. Isn't it Kewley who followed him?",943,951,,
JTK,"Cha nee, cha nee.","No, no.",950,952,,
