Manx,English,Manx Original,Notes,Date,Source
Dullish,"Palmaria Palmata, Dulse [a type of seaweed]",,"[M.S., 08/10/1881]",08/10/1881,The Manx Sun
doaieagh,Decent,Dhoiagh,"[M.S., 15/10/1881]",15/10/1881,The Manx Sun
doaieagh,Decent,dhoiagh,"[M.S., 15/10/1881]",15/10/1881,The Manx Sun
Dhoolish,Douglas,,"[M.S., 15/10/1881]",15/10/1881,The Manx Sun
cum-over,"incomer, immigrant [perjorative]",,[M.S.16/02/1881],16/02/1881,The Manx Sun
Oltaghey ghennal yn dooinney stoyl-drommey ,‘Welcome to the noble chairman’ [‘The genial welcome of the chariman’],,"[(Rev Radcliffe, Liverpool) M.H., 28/01/1885]",28/01/1885,Mona's Herald
,,,,,
Cha nee ommidan. ,No fool.,,[M.H. 23/12/1885],23/12/1885,Mona's Herald
cha nee ommidan ,no fool,,"[M.H., 30/12/1885]",30/12/1885,Mona's Herald
Dy choyrt dwoaie; dwoiagh; feoh da.,ABHOR,,"[M.H., 20/10/1886]",20/10/1886,Mona's Herald
Dy hannaghtyn; dy uirraghtyn syn un voayl,ABIDE,,"[M.H., 20/10/1886]",20/10/1886,Mona's Herald
Dy injillaghey; dy hilgey bun-ry-skyn.,ABASE,,"[M.H., 20/10/1886]",20/10/1886,Mona's Herald
fort; schlei; niart.,ABILITY,,"[M.H., 20/10/1886]",20/10/1886,Mona's Herald
Cha nee tra ta’n keyrrey gee yn ouw t’eh çheet r’ee.,It is not when the sheep eats the marsh penny wort that it appears to her. ,,"[M.H., 19/01/1887]",19/01/1887,Mona's Herald
Fow aarloo dy gholl quail dy yee.,Be ready to meet thy god,,"[Chapter IV, ‘Manx Recollections’, Memorials of Eleanor Elliott, by K. A. Forrest, James Nisbett & Co., Douglas, 1894.]",1894,Memorials of Eleanor Elliott
cran,"In the earlier part of this century the herrings were sold by the “cran,” but so much imposition was practised that it had to be discontinued. By Act of Tynwald in 1817 (see Statutes. vol. I. pp. 397-8) the “cran” contained 42 gallons.",,"[M.H., 01/01/1896]",01/01/1896,Mona's Herald
Admiral,The fisherman in command of the fleet..  [His duties were especially to guide them as to time for shooting and hauling their nets. Shooting the nets before sunset was forbidden by law.],,"[M.H., 01/01/1896]",01/01/1896,Mona's Herald
briaght ,a search (for fish) ,,"[M.H., 01/01/1896]",01/01/1896,Mona's Herald
Chree. ,My dear,,"[M.H., 01/01/1896]",01/01/1896,Mona's Herald
