English,Manx,Notes
"Bunscoill Ghaelgagh pupils and teachers raised the profile of Manx by representing the language at national and international events. This included winning the Crucial Crew cup for the second year in a row with a film in Manx Gaelic (the competition is for all Year 6 classes on the Island), presenting stories written in Manx on Tynwald Day and participation and success sharing our language at Aundyryn Kiaull Theay Vannin, the Manx Folk Awards and the Manx Music Festival. Two of our pupils were proud to represent the Island in Glasgow for the FILM G awards in February.","Hrog paitçhyn as fir as mraane-ynsee y Vunscoill Ghaelgagh enney er y Ghaelg liorish shassoo ass lieh yn ghlare ec taghyrtyn ashoonagh as eddyr-ashoonagh. Ghow shoh stiagh cosney cappan yn Crucial Crew son daa vlein ass y cheilley lesh fillym ayns Gaelg (ta’n co-hirrey foshlit da dy chooilley vrastyl Blein 6 er yn Ellan), taishbyney skeealyn scruit ayns Gaelg ec Feaill’Eoin as goaill ayrn ayns Aundyryn Kiaull Theay Vannin as yn Guild as cur magh dy speeideilagh nyn jengey ain.  Va jees jeh nyn baitçhyn scoill moyrnagh dy hassoo ass lieh Vannin ayns Glaschu ec aundyryn Film G ayns y chied vee jeh’n niarragh.",
We were able to promote the language during our filming of the UNESCO Biosphere award winners’ film https://youtu.be/M-yN2Iu7mLY?si=3-PeEuR3hFYorBbe,Va shin abyl dy chur er e toshiaght yn çhengey tra va shin jannoo yn fillym chossyn aundyr Biosphere UNESCO https://youtu.be/M-yN2Iu7mLY?si=3-PeEuR3hFYorBbe,
"Bunscoill Ghaelgagh teacher, Adrian Cain, coordinates Bunscoill Ghaelgagh Manx content for social media, with the 100 Laa series on Instagram having had nearly 160,000 plays so far.","Ta fer-ynsee y Vunscoill Ghaelgagh, Adrian Cain, co-oardaghey stoo ny meanyn sheshoil jeant ec y Vunscoill Ghaelgagh, as ta’n strane 100 Laa er Instagram er ve er ny chloie bunnys 160,000 keayrt choud’s shoh.",
Yn Skimmee Gaelgagh has provided Manx lessons in schools upon request and actively promoted and supported the use of Manx within the Island’s educational institutions. Yn Skimmee Gaelgagh teachers have taken part in specialist language teacher training organised by Culture Vannin to further enhance their lesson delivery skills. Members of Yn Skimmee Gaelgagh contributed submissions to experts on Island regarding the promotion of the Manx language.,Ta’n Skimmee Gaelgagh er chiarail lessoonyn Gaelgagh ayns scoillyn tra ta’d shirit as t’ad dy breeoil cur er e hoshiaght ymmyd ny Gaelgey ayns sheshaghtyn ynsee yn Ellan. Ta fir as mraane-ynsee yn Skimmee Gaelgagh er ghoaill ayrn ayns traenal ynsee er-lheh va reaghit ec Culture Vannin dy yannoo eer ny share nyn schleiyn son gynsagh lessoonyn. Ta oltyn yn Skimmee Gaelgagh er choyrt treealtyssyn dys oaylleeyn er yn Ellan bentyn rish cur yn ghlare Vanninagh er e toshiaght.,
"The Manx Language Officer attended the Celtic Knot conference in Waterford, Ireland, and Scottish language forum in Belfast, Ireland.",,Not translated in the original
"MLRG has continued to organise outreach events targeting both the local and international communities. Notably, the group organised the English-medium Ned Maddrell lecture as part of the programme for the 2023 Cooish Festival.","Ta’n Possan Ronsee Gaelgagh tannaghtyn dy reaghey taghyrtyn mastey’n theay ta jeerit er chammah pobbleyn ynnydagh as eddyr-ashoonagh. Feer chronnal va leaght Ned Maddrell va er ny cummal ayns Baarle, myr ayrn jeh claare Feailley yn Chooish 2023.",
Jeebin members delivered training to Tynwald members (Manx language training & advocacy).,Hug oltyn Jeebin traenal da oltyn yn Chiare as Feed (Traenal Gaelgagh as Shirrey Foayr yn Theay).,
"The 2023 Cooish Manx language festival took place between 1st – 5th November. It featured 20 events over 5 days, along with 8 additional workshops within one larger event. An inter-primary school postcard project, run by DESC MLU, took place, and reached around 600 children across island schools. Jeebin members worked with the wider Manx language community to organise events, and the programme was curated by Culture Vannin’s Manx Language Development Officer.","Hie Feailley Gaelgagh yn Chooish 2023 er cummal eddyr yn chied as yn wheiggoo laa jeh Mee Houney. Ghow eh stiagh 20 taghyrt harrish 5 laa, marish shen va 8 keirdlannyn elley çheu-sthie jeh un taghyrt smoo. Va shalee kaart-post ayn eddyr ny bunscoillyn, hie er stiurey liorish DESC MLU, as ren shen roshtyn mysh 600 dy chloan ayns scoillyn yn ellan. Dobbree oltyn Jeebin marish yn phobble Gaelgagh cadjin dy chummal taghyrtyn, as va’n claare er ny reaghey liorish Yn Ghreinneyder - Ben-Oik Lhiasee Ghaelgagh Culture Vannin.",
Legislation continues to be translated into Manx and this can be found here.,Ta sleih tannaghtyn dy hyndaa slattyssyn dys Gaelg as t’ad ry-gheddyn ayns shoh.,
"Culture Vannin ran three workshops in January 2024: a Manx for worship workshop, Taize chant workshop, and Manx traditional song workshop, each lasting three hours, in January, with around 60 attendees across the three workshops. These helped to promote Manx as a valued part of our distinctive contemporary, cultural, and national identity, and reach new learners.","Ren Culture Vannin three keirdlannyn y stiurey ayns mee s’jerree yn yeuree 2024: keirdlann Gaelg cour ooashley, keirdlann arraneyn Taize, as keirdlann arraneyn tradishoonagh Manninagh, dagh unnane three ooryn er liurid, ayns mee s’jerree yn yeuree, as haink mysh 60 ooilley cooidjagh dys ny three keirdlannyn. Chooin ad shoh dy chur er e toshiaght yn Ghaelg myr ayrn scanshoil jeh nyn yarroo-enney ashoonagh, cultooroil, co-emshyragh unnaneagh, as roshtyn ynseydee noa.",
