English,Manx,Notes
Manx National Heritage continues to provide resources to help teach Manx history through Manx by translating more school loan boxes into Manx for use by the Skimmee Gaelgagh and the Bunscoill Ghaelgagh.,Ta Eiraght Ashoonagh Vannin tannaghtyn dy chiarail couyryn dy chooney lesh gynsagh shennaghys Manninagh ayns Gaelg liorish çhyndaa tooilley kishtaghyn-eeasee gys Gaelg son ymmyd yn Skimmee Gaelgagh as yn Vunscoill Ghaelgagh.,
Future Work,Obbyr ‘sy Traa Ry-Heet,
"Bunscoill Ghaelgagh will be developing and trialling a year-long beginner’s course with digital resources aimed at Bunscoill Ghaelgagh families, but available online for any beginner learners.","Bee’n Vunscoill Ghaelgagh lhiasaghey as prowal coorse toshiaghteyryn blein er-lhiurid cour lughtyn-thie cloan yn Vunscoill Ghaelgagh, agh ry-gheddyn er-linney da ynseydee erbee ta goaill toshiaght.",
"Bunscoill Ghaelgagh will continue training pupils in media skills as part of their creative curriculum and to produce entertaining, contemporary content for all Manx learners and speakers.","Nee’n Vunscoill Ghaelgagh tannaghtyn dy chur traenal da paitçhyn y scoill mychione schleiyn meanyn myr ayrn jeh nyn gurriglym crootagh as dy yientyn cooid cho-emshyragh, taitnyssagh cour dy chooilley pheiagh ta gynsagh Gaelg as cour Gaelgeyryn.",
Possan Ronsee Gaelgagh has several significant goals for the development of the corpus:,Ta shiartanse dy gheanyn cowreydagh ec Possan Ronsee Gaelgagh bentyn da lhiasaghey yn Chorpus:,
The foremost priority is to finalise the addition of all eighteenth and early nineteenth- century printed religious materials to the Corpus.,Yn ard-dean t’eh dy chooilleeney cur stiagh er y Chorpus ooilley yn stoo crauee prentit ayns yn hoghtoo cheead jeig as toshiaght yn nuyoo cheead jeig.,
"Furthermore, members plan to incorporate a substantial volume of eighteenth-century manuscript material.","Ny sodjey, ta olteynyn plannal dy ghoaill stiagh towse mooar dy stoo ayns cummey laue-screeuyn veih’n hoghtoo cheead jeig.",
"The focus will initially be on sermons, followed by carvals and other text types from the same era.","Da sharmaneyn vees tastey er-lheh currit hoshiaght, as lurg shen da carvalyn as teksyn elley veih’n un lhing.",
"They will begin the process of adding manuscript images linked to the texts, enhancing the visual aspect of the Corpus.","Gowee ad toshiaght er yn obbyr jeh cur stiagh caslyssyn laue-screeuyn ta kianglt rish ny teksyn, vees jannoo ny share tuarystal yn Chorpus.",
"Possan Ronsee Gaelgagh is committed to completing the addition of all available native speaker recordings, complemented by bilingual transcripts.","Ta Possan Ronsee Gaelgagh er ghoaill orroo hene dy chooilleeney cur er y Chorpus ooilley ny recortyssyn jeh loayrtee dooghyssagh ta ry-gheddyn, as mac-screeunyn daa-hengagh jeu maroo.",
"To ensure comprehensive coverage, they will continue expanding their database to include more nineteenth and twentieth-century materials, reflecting the evolution of the language over time as well as aspects of the island’s social history.","Dy yannoo shickyr dy vel yn Corpus jeh roshtyn vooar, nee ad tannaghtyn dy vooadaghey nyn stoyr-fysseree dy ghoaill stiagh ny smoo stooghyn veih’n nuyoo cheead jeig as yn ‘eedoo cheead, ta soilshaghey kys ta’n ghlare er chaghlaa trooid traa chammah’s cooishyn ass shennaghys sheshoil yn Ellan.",
"Beyond the immediate goals, they aim to explore innovative ways in which the Corpus can serve as the foundation for future resources, potentially leading to the development of new dictionaries and language tools.","Çheu-mooie jeh ny deanyn vees er nyn gooilleeney çhelleeragh, t’ad kiarail scrutaghey aghtyn noa-chliaghtagh ayndoo oddys yn Corpus ve myr undin son couyryn ‘sy traa ry-heet, oddagh leeideil gys croo fockleyryn noa as greienyn çhengey.",
"Mooinjer Veggey is actively preparing three series of books for publication, featuring works such as Fairytales from the Isle of Man by Dora Broome, translated by Brian Stowell, Aesop's Fables, translated by Edward Faragher (Ned Beg Hom Ruy), and Anansi Folktales, translated by Annie Kissack.","Ta Mooinjer Veggey dy breeoil jannoo aarloo three straneyn dy lioaryn ry-hoi cur magh, ny mast’ oc obbraghyn goll-rish Skeealyn-Ferrish ass Mannin liorish Dora Broome, çhyndaait liorish Brian Stowell, Skeeallyn Aesop, çhyndaait liorish Edward Faragher (Ned Beg Hom Ruy), as Skeeallyn Anansi, çhyndaait liorish Annie Kissack.",
"Culture Vannin will be publishing the second Diary of a Wimpy Kid translation, Roderick Aboo, translated by Adrian Cain.","Bee Culture Vannin cur magh yn nah hyndaays jeh Jeelane Tootagh, ta shen dy ghra Roderick Aboo, çhyndaait liorish Adrian Cain.",
"Yn Skimmee Gaelgagh is currently engaged in the development of a video-based grammar course, with a particular emphasis on involving young speakers.","Ta’n Skimmee Gaelgagh goaill ayns laue ec y traa t’ayn dy chroo coorse grammar feeshanagh, ta cur tastey er-lheh da goaill stiagh loayrtee aegey.",
This initiative aims to make language learning more engaging and accessible.,Dean yn çhalee shoh t’eh dy yannoo gynsagh glare ny s’tayrnyssee as ny smoo foshlit.,
"In addition, the service will continue enhancing the Manx Corpus website, with plans to publish an additional 50 new documents on the site.","Chammah’s shoh, nee yn çhirveish tannaghtyn dy vooadaghey as jannoo ny share ynnyd-eggey yn Chorpus Gaelgagh, lesh kiarail dy chur 50 ny smoo dy heksyn noa er yn ynnyd.",
This expansion will provide users with an even more extensive and valuable resource for exploring the Manx language and culture.,Bee yn mooadaghey shoh croo couyr eer ny smoo vees scanshoil erskyn towse da ymmydeyryn ta kiarail geddyn magh mychione y Ghaelg as cultoor Vannin.,
Theme 2: Manx as an important part of national & cultural identity.,Cooish 2: Gaelg myr ayrn scanshoil jeh enney ashoonagh as cultooroil,
Strategic Commitment,Dean Strateyshagh,
